Country,Year,Region,Type,Energy consumption (in Exajoules)
Canada,1990,North America,Biofuel,0.0
Mexico,1990,North America,Biofuel,0.0
US,1990,North America,Biofuel,0.06023786257575759
Argentina,1990,S. & Cent. America,Biofuel,0.0
Brazil,1990,S. & Cent. America,Biofuel,0.24514009964892
Colombia,1990,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1990,S. & Cent. America,Biofuel,0.0577245804
Austria,1990,Europe ,Biofuel,0.0002656030731889988
Belgium,1990,Europe ,Biofuel,0.0
Finland,1990,Europe ,Biofuel,0.0
France,1990,Europe ,Biofuel,0.0
Germany,1990,Europe ,Biofuel,0.0
Italy,1990,Europe ,Biofuel,0.0
Netherlands,1990,Europe ,Biofuel,0.0
Poland,1990,Europe ,Biofuel,0.0
Portugal,1990,Europe ,Biofuel,0.0
Spain,1990,Europe ,Biofuel,0.0
Sweden,1990,Europe ,Biofuel,0.0
United Kingdom,1990,Europe ,Biofuel,0.0
Other Europe,1990,Europe ,Biofuel,0.0
CIS,1990,CIS,Biofuel,0.0
Middle East,1990,Middle East,Biofuel,0.0
Africa,1990,Africa,Biofuel,0.0
Australia,1990,Asia Pacific,Biofuel,0.0
China,1990,Asia Pacific,Biofuel,0.0
India,1990,Asia Pacific,Biofuel,0.0
Indonesia,1990,Asia Pacific,Biofuel,0.0
South Korea,1990,Asia Pacific,Biofuel,0.0
Thailand,1990,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1990,Asia Pacific,Biofuel,0.0
Canada,1991,North America,Biofuel,0.0
Mexico,1991,North America,Biofuel,0.0
US,1991,North America,Biofuel,0.0697994258080808
Argentina,1991,S. & Cent. America,Biofuel,0.0
Brazil,1991,S. & Cent. America,Biofuel,0.25556234087285995
Colombia,1991,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1991,S. & Cent. America,Biofuel,0.05828568776000001
Austria,1991,Europe ,Biofuel,0.00029480432773761983
Belgium,1991,Europe ,Biofuel,0.0
Finland,1991,Europe ,Biofuel,0.0
France,1991,Europe ,Biofuel,0.0
Germany,1991,Europe ,Biofuel,0.0
Italy,1991,Europe ,Biofuel,0.0
Netherlands,1991,Europe ,Biofuel,0.0
Poland,1991,Europe ,Biofuel,0.0
Portugal,1991,Europe ,Biofuel,0.0
Spain,1991,Europe ,Biofuel,0.0
Sweden,1991,Europe ,Biofuel,0.0
United Kingdom,1991,Europe ,Biofuel,0.0
Other Europe,1991,Europe ,Biofuel,0.0
CIS,1991,CIS,Biofuel,0.0
Middle East,1991,Middle East,Biofuel,0.0
Africa,1991,Africa,Biofuel,0.0
Australia,1991,Asia Pacific,Biofuel,0.0
China,1991,Asia Pacific,Biofuel,0.0
India,1991,Asia Pacific,Biofuel,0.0
Indonesia,1991,Asia Pacific,Biofuel,0.0
South Korea,1991,Asia Pacific,Biofuel,0.0
Thailand,1991,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1991,Asia Pacific,Biofuel,0.0
Canada,1992,North America,Biofuel,0.0
Mexico,1992,North America,Biofuel,0.0
US,1992,North America,Biofuel,0.07936099242424242
Argentina,1992,S. & Cent. America,Biofuel,0.0
Brazil,1992,S. & Cent. America,Biofuel,0.25006874408712
Colombia,1992,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1992,S. & Cent. America,Biofuel,0.046498711920000005
Austria,1992,Europe ,Biofuel,0.00032651431238088106
Belgium,1992,Europe ,Biofuel,0.0
Finland,1992,Europe ,Biofuel,0.0
France,1992,Europe ,Biofuel,0.0002607870856732318
Germany,1992,Europe ,Biofuel,0.00018493618069815196
Italy,1992,Europe ,Biofuel,0.0
Netherlands,1992,Europe ,Biofuel,0.0
Poland,1992,Europe ,Biofuel,0.0
Portugal,1992,Europe ,Biofuel,0.0
Spain,1992,Europe ,Biofuel,0.0
Sweden,1992,Europe ,Biofuel,0.0
United Kingdom,1992,Europe ,Biofuel,0.0
Other Europe,1992,Europe ,Biofuel,7.157825890919989e-05
CIS,1992,CIS,Biofuel,0.0
Middle East,1992,Middle East,Biofuel,0.0
Africa,1992,Africa,Biofuel,0.0
Australia,1992,Asia Pacific,Biofuel,0.0
China,1992,Asia Pacific,Biofuel,0.0
India,1992,Asia Pacific,Biofuel,0.0
Indonesia,1992,Asia Pacific,Biofuel,0.0
South Korea,1992,Asia Pacific,Biofuel,0.0
Thailand,1992,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1992,Asia Pacific,Biofuel,0.0
Canada,1993,North America,Biofuel,0.0
Mexico,1993,North America,Biofuel,0.0
US,1993,North America,Biofuel,0.09273409090909092
Argentina,1993,S. & Cent. America,Biofuel,0.0
Brazil,1993,S. & Cent. America,Biofuel,0.26077462866
Colombia,1993,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1993,S. & Cent. America,Biofuel,0.03736074928
Austria,1993,Europe ,Biofuel,0.00037533332866951136
Belgium,1993,Europe ,Biofuel,0.0
Finland,1993,Europe ,Biofuel,0.0
France,1993,Europe ,Biofuel,0.0013028255233412068
Germany,1993,Europe ,Biofuel,0.00018494432476953785
Italy,1993,Europe ,Biofuel,0.0
Netherlands,1993,Europe ,Biofuel,0.0
Poland,1993,Europe ,Biofuel,0.0
Portugal,1993,Europe ,Biofuel,0.0
Spain,1993,Europe ,Biofuel,0.0
Sweden,1993,Europe ,Biofuel,0.0
United Kingdom,1993,Europe ,Biofuel,0.0
Other Europe,1993,Europe ,Biofuel,0.00015351066778329254
CIS,1993,CIS,Biofuel,0.0
Middle East,1993,Middle East,Biofuel,0.0
Africa,1993,Africa,Biofuel,0.0
Australia,1993,Asia Pacific,Biofuel,0.0
China,1993,Asia Pacific,Biofuel,0.0
India,1993,Asia Pacific,Biofuel,0.0
Indonesia,1993,Asia Pacific,Biofuel,0.0
South Korea,1993,Asia Pacific,Biofuel,0.0
Thailand,1993,Asia Pacific,Biofuel,0.0
Other Asia Pacific,1993,Asia Pacific,Biofuel,0.0
Canada,1994,North America,Biofuel,0.0
Mexico,1994,North America,Biofuel,0.0
US,1994,North America,Biofuel,0.10384661616161617
Argentina,1994,S. & Cent. America,Biofuel,0.0
Brazil,1994,S. & Cent. America,Biofuel,0.278147074905
Colombia,1994,S. & Cent. America,Biofuel,0.0
Other S. & Cent. America,1994,S. & Cent. America,Biofuel,0.03697470392
Austria,1994,Europe ,Biofuel,0.0002646426654015476
Belgium,1994,Europe ,Biofuel,0.0
Finland,1994,Europe ,Biofuel,0.0
France,1994,Europe ,Biofuel,0.003936792355116528
Germany,1994,Europe ,Biofuel,0.0010354282560706405
Italy,1994,Europe ,Biofuel,0.0
Netherlands,1994,Europe ,Biofuel,0.0
Poland,1994,Europe ,Biofuel,0.0
Portugal,1994,Europe ,Biofuel,0.0
Spain,1994,Europe ,Biofuel,0.0
Sweden,1994,Europe ,Biofuel,0.0
